State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/06/2014,1000,2600,1600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/07/2014,1200,2600,1600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/07/2014,1000,2600,1600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/08/2014,500,2100,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/08/2014,500,2200,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/08/2014,500,2200,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/09/2014,350,1800,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/09/2014,400,1650,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/09/2014,400,1600,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/10/2014,300,1650,900,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/10/2014,400,1650,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/10/2014,500,1700,900,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/10/2014,300,1600,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,19/10/2014,300,1500,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/10/2014,300,1600,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/10/2014,400,1500,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/11/2014,400,1600,850,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/11/2014,400,1500,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/11/2014,400,1100,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/11/2014,300,1100,450,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/11/2014,300,1200,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/11/2014,300,1100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/11/2014,300,1000,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/12/2014,300,1100,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/12/2014,300,900,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/12/2014,300,900,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/12/2014,300,800,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/12/2014,300,900,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/12/2014,300,1100,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,FAQ,27/03/2006,200,400,250,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,FAQ,04/08/2006,200,1000,300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,FAQ,09/08/2006,200,750,300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,FAQ,09/12/2006,250,650,500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/01/2015,300,1250,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/01/2015,300,1100,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,31/01/2015,350,1250,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/02/2015,450,1400,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/02/2015,500,1450,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/02/2015,500,1400,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/02/2015,400,1500,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/02/2015,400,1500,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,03/03/2015,450,1500,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,08/03/2015,600,1500,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/03/2015,400,1600,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/03/2015,400,2000,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/03/2015,350,2000,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/05/2015,450,2200,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/05/2015,400,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/05/2015,400,2200,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/05/2015,400,2200,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/05/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,31/05/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/06/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/06/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,08/06/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/06/2015,400,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/06/2015,500,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/06/2015,500,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/06/2015,400,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/06/2015,400,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/06/2015,400,2200,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/07/2015,450,2000,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/07/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/07/2015,400,2000,800,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/07/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/07/2015,300,2100,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/07/2015,400,2000,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/07/2015,400,2100,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,30/07/2015,400,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,31/07/2015,350,2100,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,03/08/2015,350,2000,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/08/2015,300,2300,775,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/08/2015,400,2000,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/08/2015,400,2000,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/08/2015,400,1600,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/08/2015,400,1350,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/09/2015,400,2000,725,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/09/2015,400,1300,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/09/2015,400,2000,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/09/2015,350,1500,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/09/2015,400,2000,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,22/09/2015,400,2000,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/10/2015,300,1600,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/10/2015,400,1600,750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/10/2015,400,1600,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/10/2015,400,1500,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/10/2015,300,1400,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/10/2015,400,1600,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/11/2015,300,1650,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/11/2015,300,1800,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/11/2015,300,1000,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/11/2015,300,1000,700,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,03/12/2015,300,1000,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/12/2015,300,1000,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,08/12/2015,300,1000,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/12/2015,300,1000,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/12/2015,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/12/2015,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,22/12/2015,300,1000,650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/12/2015,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/12/2015,300,1000,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/12/2015,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/01/2016,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/01/2016,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/01/2016,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/01/2016,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,19/01/2016,300,900,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/01/2016,300,1000,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/01/2016,300,950,600,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/01/2016,1875,5625,4063,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/02/2016,1875,5625,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/02/2016,1875,5938,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/02/2016,1875,5938,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,19/02/2016,1875,6250,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/03/2016,1875,8750,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/03/2016,2187,7500,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/03/2016,2187,9375,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/03/2016,1875,6250,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,22/03/2016,1500,6250,3250,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/03/2016,1875,6250,4063,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/04/2016,2187,7500,4063,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/04/2016,2188,9375,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/04/2016,3125,9375,4688,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/04/2016,1250,6250,3250,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/04/2016,3125,9375,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/04/2016,2500,9375,4688,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/05/2016,3125,12500,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/05/2016,3125,9375,5313,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/05/2016,3125,9375,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/05/2016,3750,10625,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/05/2016,3125,12500,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/06/2016,3125,9375,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/06/2016,3125,13125,5313,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/06/2016,3125,13125,6250,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,22/06/2016,2187,12500,5313,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/06/2016,2187,12500,5313,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/06/2016,2187,12500,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/07/2016,1875,12500,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/07/2016,1875,12500,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/07/2016,1875,15625,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,27/07/2016,1685,15628,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/08/2016,1875,16525,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,08/08/2016,1875,13750,6250,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/08/2016,300,2500,1000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/08/2016,300,2500,850,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/08/2016,300,2000,950,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/08/2016,1875,14375,7500,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/09/2016,1875,13750,6250,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/09/2016,1500,10500,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,19/09/2016,2187,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/09/2016,2187,12500,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/09/2016,2187,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,22/09/2016,2187,11250,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/09/2016,1500,6250,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/10/2016,1875,11250,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/10/2016,1875,9375,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/10/2016,1875,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/10/2016,2187,11563,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/10/2016,1875,12500,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/11/2016,2187,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,12/11/2016,2187,10000,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/11/2016,1875,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,19/11/2016,1875,10000,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/11/2016,2500,8750,5000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/11/2016,1875,9375,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/12/2016,1875,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/12/2016,1875,12500,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/12/2016,1875,6250,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/12/2016,1875,11250,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/12/2016,1875,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/12/2016,2187,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/12/2016,1875,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/12/2016,1875,10000,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/12/2016,1875,11250,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/12/2016,1875,6250,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/12/2016,2187,9375,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/01/2017,2187,7500,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/01/2017,2187,7500,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,03/01/2017,2187,7500,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/01/2017,2500,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/01/2017,2500,8125,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,31/01/2017,2500,6875,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/02/2017,2500,9375,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/02/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/02/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/02/2017,2500,12500,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/02/2017,2187,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/02/2017,2187,5625,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/03/2017,2500,10000,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,18/03/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/03/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,26/03/2017,2500,8750,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,29/03/2017,2500,9375,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/04/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,07/04/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/04/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/04/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,21/04/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/05/2017,2500,12500,4687,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/05/2017,2500,9375,4688,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/05/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,28/05/2017,2500,10000,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/06/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/06/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/06/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/06/2017,2500,9375,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,11/06/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/06/2017,2500,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,25/06/2017,2500,25000,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,01/07/2017,1875,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/07/2017,2187,12500,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/07/2017,1875,11250,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/07/2017,1875,10000,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/07/2017,2500,12500,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,03/08/2017,1875,13125,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,14/08/2017,2187,12500,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/08/2017,2500,13750,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/09/2017,1875,11875,4375,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,10/09/2017,1875,11875,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,17/09/2017,1875,11250,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/09/2017,1875,10625,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,23/09/2017,1875,11250,4062,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,08/10/2017,1875,9375,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,15/10/2017,1875,9375,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,24/10/2017,1875,5937,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,31/10/2017,1875,5625,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,02/11/2017,1875,5625,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,05/11/2017,1875,5312,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/11/2017,1875,5625,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,13/11/2017,1875,5625,3750,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,04/12/2017,1875,4687,3125,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,06/12/2017,1875,4687,3125,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,09/12/2017,1875,4687,3125,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,16/12/2017,1875,5312,3125,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,20/12/2017,1875,5312,3125,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,22/12/2017,1875,5312,3125,17
Telangana,Hyderabad,Gaddiannaram,Apple,Apple,Medium,31/12/2017,1875,4687,2812,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Large,08/07/2024,3300,18650,7300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,01/07/2024,7300,14650,9300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,03/07/2024,2000,5300,3300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,05/07/2024,3000,18300,7000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,06/07/2024,3300,18650,7300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,12/07/2024,3300,18650,7300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,20/07/2024,3300,18650,7300,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,25/07/2024,3000,18300,7000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,26/07/2024,3000,18300,7000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,29/07/2024,3000,18300,7000,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,07/08/2024,4000,18300,8650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,12/08/2024,4000,18300,8650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,18/08/2024,4400,20000,9400,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,06/08/2024,4000,18300,8650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,08/08/2024,4000,18300,8650,17
Telangana,Hyderabad,Gaddiannaram,Apple,Simla,Medium,15/08/2024,4444,18333,9444,17
